	1	2	3	4	
CPU 1.1	0.00	0.00	132000.00	22808000.00	
CPU 1.2	0.00	11322000.00	148000.00	22940000.00	
CPU 1.3	16000.00	11306000.00	148000.00	22940000.00	
CPU 1.4	0.00	0.00	0.00	22940000.00	

Total	16000.00	22628000.00	428000.00	91628000.00	
Average	16000.00	11314000.00	142666.67	22907000.00	
Maximum	16000.00	11322000.00	148000.00	22940000.00	
Minimum	16000.00	11306000.00	132000.00	22808000.00	
Stdev	0.00	8000.00	7542.47	57157.68	
Avg/Max	1.00	1.00	0.96	1.00	

