	1	2	3	4	
CPU 1.1	11000.00	8000.00	8000.00	67000.00	
CPU 1.2	0.00	0.00	0.00	0.00	
CPU 1.3	0.00	0.00	0.00	0.00	
CPU 1.4	0.00	0.00	0.00	0.00	

Total	11000.00	8000.00	8000.00	67000.00	
Average	11000.00	8000.00	8000.00	67000.00	
Maximum	11000.00	8000.00	8000.00	67000.00	
Minimum	11000.00	8000.00	8000.00	67000.00	
Stdev	0.00	0.00	0.00	0.00	
Avg/Max	1.00	1.00	1.00	1.00	

