	1	2	3	4	
CPU 1.1	8000.00	5353000.00	39000.00	10905000.00	
CPU 1.2	0.00	0.00	0.00	10870000.00	
CPU 1.3	0.00	5353000.00	47000.00	10905000.00	
CPU 1.4	0.00	0.00	39000.00	10831000.00	

Total	8000.00	10706000.00	125000.00	43511000.00	
Average	8000.00	5353000.00	41666.67	10877750.00	
Maximum	8000.00	5353000.00	47000.00	10905000.00	
Minimum	8000.00	5353000.00	39000.00	10831000.00	
Stdev	0.00	0.00	3771.24	30539.93	
Avg/Max	1.00	1.00	0.89	1.00	

