	2	3	4	
CPU 1.1	0.00	0.00	0.00	
CPU 1.2	0.00	0.00	0.00	
CPU 1.3	0.00	0.00	0.00	
CPU 1.4	10000.00	8000.00	74000.00	

Total	10000.00	8000.00	74000.00	
Average	10000.00	8000.00	74000.00	
Maximum	10000.00	8000.00	74000.00	
Minimum	10000.00	8000.00	74000.00	
Stdev	0.00	0.00	0.00	
Avg/Max	1.00	1.00	1.00	

