	1	2	3	4	
CPU 1.1	0.00	0.00	201000.00	61629000.00	
CPU 1.2	0.00	30690000.00	225000.00	61830000.00	
CPU 1.3	24000.00	30666000.00	225000.00	61830000.00	
CPU 1.4	0.00	0.00	0.00	61830000.00	

Total	24000.00	61356000.00	651000.00	247119000.00	
Average	24000.00	30678000.00	217000.00	61779750.00	
Maximum	24000.00	30690000.00	225000.00	61830000.00	
Minimum	24000.00	30666000.00	201000.00	61629000.00	
Stdev	0.00	12000.00	11313.71	87035.55	
Avg/Max	1.00	1.00	0.96	1.00	

