	1	2	3	4	
CPU 1.1	12000.00	8000.00	8000.00	66000.00	
CPU 1.2	0.00	0.00	0.00	0.00	
CPU 1.3	0.00	0.00	0.00	0.00	
CPU 1.4	0.00	0.00	0.00	0.00	

Total	12000.00	8000.00	8000.00	66000.00	
Average	12000.00	8000.00	8000.00	66000.00	
Maximum	12000.00	8000.00	8000.00	66000.00	
Minimum	12000.00	8000.00	8000.00	66000.00	
Stdev	0.00	0.00	0.00	0.00	
Avg/Max	1.00	1.00	1.00	1.00	

