	1	2	3	
CPU 1.1	0.00	0.00	0.00	
CPU 1.2	32000.00	228000.00	1000.00	
CPU 1.3	0.00	0.00	0.00	
CPU 1.4	0.00	0.00	0.00	

Total	32000.00	228000.00	1000.00	
Average	32000.00	228000.00	1000.00	
Maximum	32000.00	228000.00	1000.00	
Minimum	32000.00	228000.00	1000.00	
Stdev	0.00	0.00	0.00	
Avg/Max	1.00	1.00	1.00	

