	1	2	3	4	
CPU 1.1	143000.00	10000.00	10000.00	25989000.00	
CPU 1.2	0.00	10000.00	10000.00	26132000.00	
CPU 1.3	0.00	0.00	20000.00	26132000.00	
CPU 1.4	0.00	10000.00	10000.00	26132000.00	

Total	143000.00	30000.00	50000.00	104385000.00	
Average	143000.00	10000.00	12500.00	26096250.00	
Maximum	143000.00	10000.00	20000.00	26132000.00	
Minimum	143000.00	10000.00	10000.00	25989000.00	
Stdev	0.00	0.00	4330.13	61920.82	
Avg/Max	1.00	1.00	0.62	1.00	

