	1	2	3	4	
CPU 1.1	150000.00	382000.00	218000.00	300000.00	
CPU 1.2	0.00	239000.00	68000.00	68000.00	
CPU 1.3	0.00	157000.00	143000.00	300000.00	
CPU 1.4	0.00	0.00	75000.00	300000.00	

Total	150000.00	778000.00	504000.00	968000.00	
Average	150000.00	259333.33	126000.00	242000.00	
Maximum	150000.00	382000.00	218000.00	300000.00	
Minimum	150000.00	157000.00	68000.00	68000.00	
Stdev	0.00	92974.31	60658.88	100458.95	
Avg/Max	1.00	0.68	0.58	0.81	

