	1	2	3	4	
CPU 1.1	0.00	0.00	0.00	0.00	
CPU 1.2	194000.00	150000.00	150000.00	232000.00	
CPU 1.3	0.00	0.00	0.00	0.00	
CPU 1.4	0.00	0.00	0.00	0.00	

Total	194000.00	150000.00	150000.00	232000.00	
Average	194000.00	150000.00	150000.00	232000.00	
Maximum	194000.00	150000.00	150000.00	232000.00	
Minimum	194000.00	150000.00	150000.00	232000.00	
Stdev	0.00	0.00	0.00	0.00	
Avg/Max	1.00	1.00	1.00	1.00	

