	2	3	4	
CPU 1.1	0.00	0.00	44190000.00	
CPU 1.2	126000.00	1354000.00	109234000.00	
CPU 1.3	537000.00	5998000.00	57391000.00	
CPU 1.4	0.00	0.00	128694000.00	

Total	663000.00	7352000.00	339509000.00	
Average	331500.00	3676000.00	84877250.00	
Maximum	537000.00	5998000.00	128694000.00	
Minimum	126000.00	1354000.00	44190000.00	
Stdev	205500.00	2322000.00	35085984.03	
Avg/Max	0.62	0.61	0.66	

