	1	2	3	4	
CPU 1.1	21000.00	0.00	14000.00	0.00	
CPU 1.2	0.00	0.00	0.00	0.00	
CPU 1.3	0.00	0.00	0.00	70000.00	
CPU 1.4	0.00	0.00	0.00	70000.00	

Total	21000.00	0.00	14000.00	140000.00	
Average	21000.00	0.00	14000.00	70000.00	
Maximum	21000.00	0.00	14000.00	70000.00	
Minimum	21000.00	0.00	14000.00	70000.00	
Stdev	0.00	0.00	0.00	0.00	
Avg/Max	1.00	-nan	1.00	1.00	

